,Name,Type,Park Code,Org Code,Region,NameType
77,CHICKAMAUGA AND CHATTANOOGA   ,NMP,CHCH,5220-5221,SER,CHICKAMAUGA AND CHATTANOOGA NMP
78,CHICKASAW    ,NRA,CHIC,7510-7519,IMR,CHICKASAW NRA
79,CHIRICAHUA    ,NM,CHIR,8620,IMR,CHIRICAHUA NM
80,CHRISTIANSTED       ,NHS,CHRI,5380,SER,CHRISTIANSTED NHS
81,CITY OF ROCKS NATIONAL RESERVE,OTHER,CIRO,9606,PWR,CITY OF ROCKS NATIONAL RESERVE OTHER
82,CLARA BARTON  ,NHS,CLBA,3340,NCR,CLARA BARTON NHS
83,COLONIAL ,NHP,COLO,4290-4299,NER,COLONIAL NHP
84,COLORADO    ,NM,COLM,1378,IMR,COLORADO NM
85,COLTSVILLE**,NHP,COLT,**Authorized NOT established,NER,COLTSVILLE** NHP
86,CONGAREE      ,NP,CONG,5240,SER,CONGAREE NP
88,CORONADO    ,NMEM,CORO,8630,IMR,CORONADO NMEM
89,COWPENS     ,NB,COWP,5510,SER,COWPENS NB
90,CRATER LAKE    ,NP,CRLA,9320 - 9324,PWR,CRATER LAKE NP
91,CRATERS OF THE MOON    ,NPRES,CRMO,9280,PWR,CRATERS OF THE MOON NPRES
92,CRATERS OF THE MOON    ,NM,CRMO,9280,PWR,CRATERS OF THE MOON NM
93,CUMBERLAND GAP      ,NHP,CUGA,5230,SER,CUMBERLAND GAP NHP
94,CUMBERLAND ISLAND     ,NS,CUIS,5630,SER,CUMBERLAND ISLAND NS
95,CURECANTI    ,NRA,CURE,1379,IMR,CURECANTI NRA
96,CUYAHOGA VALLEY     ,NP,CUVA,6160-6169,MWR,CUYAHOGA VALLEY NP
97,DAYTON AVIATION HERITAGE,NHP,DAAV,6295,MWR,DAYTON AVIATION HERITAGE NHP
98,DEATH VALLEY    ,NP,DEVA,8130-8138,PWR,DEATH VALLEY NP
99,DE SOTO     ,NMEM,DESO,5300,SER,DE SOTO NMEM
100,DELAWARE WATER GAP ,NRA,DEWA,4320,NER,DELAWARE WATER GAP NRA
101,DENALI     ,NP,DENA,"9830-9834, 
9836-9839",AKR,DENALI NP
102,DENALI     ,NPRES,DENA,"9830-9834, 
9836-9839",AKR,DENALI NPRES
103,DEVILS TOWER    ,NM,DETO,1390,IMR,DEVILS TOWER NM
104,DINOSAUR    ,NM,DINO,1400-1405,IMR,DINOSAUR NM
105,DEVILS POSTPILE    ,NM,DEPO,8590,PWR,DEVILS POSTPILE NM
106,DRY TORTUGAS     ,NP,DRTO,5281-5299,SER,DRY TORTUGAS NP
107,EBEY'S LANDING NATIONAL HISTORICAL RESERVE  ,OTHER,EBLA,9290,PWR,EBEY'S LANDING NATIONAL HISTORICAL RESERVE OTHER
108,EDGAR ALLAN POE  ,NHS,EDAL,4330,NER,EDGAR ALLAN POE NHS
