State,Park,Recreation Visitors,Percent Change
UT,Golden Spike NHP,"49,042",-7.31%
UT,Hovenweep NM,"15,931",6.50%
UT,Natural Bridges NM,"71,249",-3.04%
UT,Rainbow Bridge NM,81,-97.54%
UT,Timpanogos Cave NM,"155,995",27.29%
UT,Zion NP,"4,692,417",-6.89%
VT,Marsh-Billings-Rockefeller NHP,"63,956",33.25%
,Buck Island Reef NM,"45,365",-0.65%
,Christiansted NHS,"96,587",5.91%
,Salt River Bay NHP & Ecological Pres,"12,155",13.52%
,Virgin Islands NP,"196,752",-39.27%
VA,Appomattox Court House NHP,"83,483",-9.89%
VA,Arlington House The R.E. Lee MEM,"306,686",6314.68%
VA,Assateague Island NS,"1,567,982",-12.11%
VA,Blue Ridge PKWY,"5,970,181",-1.49%
VA,Booker T. Washington NM,"20,396",7.56%
VA,Colonial NHP,"2,762,273",-11.31%
VA,Cumberland Gap NHP,"51,306",-9.97%
VA,Fredericksburg & Spotsylvania NMP,"756,296",2.70%
VA,George Washington Birthplace NM,"96,234",-6.37%
VA,George Washington MEM PKWY,"7,397,120",8.44%
VA,LBJ Memorial Grove on the Potomac,"242,325",4.06%
VA,Maggie L. Walker NHS,"4,815",87.50%
VA,Manassas NBP,"532,727",3.12%
VA,Petersburg NB,"180,907",-10.27%
VA,Prince William Forest Park,"294,916",-9.33%
VA,Richmond NBP,"173,124",13.67%
VA,Shenandoah NP,"1,449,300",-8.98%
VA,Theodore Roosevelt Island,"171,500",1.21%
VA,Wolf Trap NP for the Performing Arts,"445,497",79.74%
WA,Fort Vancouver NHS,"964,318",19.12%
WA,Klondike Gold Rush NHP Seattle,"60,423",67.95%
WA,Lake Chelan NRA,"38,207",-5.69%
WA,Lake Roosevelt NRA,"1,128,725",-15.55%
WA,Manhattan Project NHP,"7,103",
WA,Minidoka NHS,"8,746",-1.13%
WA,Mount Rainier NP,"1,622,395",-2.85%
WA,North Cascades NP,"30,154",68.88%
WA,Olympic NP,"2,432,972",-10.52%
WA,Ross Lake NRA,"998,019",16.60%
WA,San Juan Island NHP,"700,325",9.76%
