Name,Type,Park Code,Org Code,Region,Park
GUADALUPE MOUNTAINS    ,NP,GUMO,7181-7189,IMR,GUADALUPE MOUNTAINS NP
GUILFORD COURTHOUSE       ,NMP,GUCO,5170,SER,GUILFORD COURTHOUSE NMP
GULF ISLANDS     ,NS,GUIS,5320-5326,SER,GULF ISLANDS NS
HAGERMAN FOSSIL BEDS    ,NM,HAFO,9608 9360,PWR,HAGERMAN FOSSIL BEDS NM
HALEAKALA    ,NP,HALE,8291-8299,PWR,HALEAKALA NP
HAMILTON GRANGE NM,NMEM,HAGR,1815,NER,HAMILTON GRANGE NM NMEM
HAMPTON  ,NHS,HAMP,4350,NER,HAMPTON NHS
HARPERS FERRY   ,NHP,HAFE,3851-3856,NCR,HARPERS FERRY NHP
HARRY S TRUMAN       ,NHS,HSTR,6460,MWR,HARRY S TRUMAN NHS
HAWAII VOLCANOES    ,NP,HAVO,8301-8306,PWR,HAWAII VOLCANOES NP
HERBERT HOOVER       ,NHS,HEHO,6470,MWR,HERBERT HOOVER NHS
HOMESTEAD     ,NM,HOME,6480,MWR,HOMESTEAD NM
HONOULIULI,NM,HONO,8890,PWR,HONOULIULI NM
HOPEWELL CULTURE       ,NHP,HOCU,6514,MWR,HOPEWELL CULTURE NHP
HOPEWELL FURNACE  ,NHS,HOFU,4430,NER,HOPEWELL FURNACE NHS
HORSESHOE BEND       ,NMP,HOBE,5480,SER,HORSESHOE BEND NMP
HOT SPRINGS     ,NP,HOSP,7300-7309,MWR,HOT SPRINGS NP
HOVENWEEP    ,NM,HOVE,1347,IMR,HOVENWEEP NM
HUBBELL TRADING POST      ,NHS,HUTR,7420,IMR,HUBBELL TRADING POST NHS
INDEPENDENCE  ,NHP,INDE,4450,NER,INDEPENDENCE NHP
INDIANA DUNES     ,NL,INDU,6300,MWR,INDIANA DUNES NL
ISLE ROYALE     ,NP,ISRO,6310,MWR,ISLE ROYALE NP
JAMES A. GARFIELD       ,NHS,JAGA,"6170, 6380",MWR,JAMES A. GARFIELD NHS
JEAN LAFITTE    ,NHP & PRES,JELA,7530-7539,SER,JEAN LAFITTE NHP & PRES
JEWEL CAVE     ,NM,JECA,1569,MWR,JEWEL CAVE NM
JIMMY CARTER       ,NHS,JICA,5690,SER,JIMMY CARTER NHS
JOHN DAY FOSSIL BEDS    ,NM,JODA,9325,PWR,JOHN DAY FOSSIL BEDS NM
JOHN FITZGERALD KENNEDY  ,NHS,JOFI,1850 (1805),NER,JOHN FITZGERALD KENNEDY NHS
JOHN MUIR      ,NHS,JOMU,8510,PWR,JOHN MUIR NHS
JOHNSTOWN FLOOD NM,NMEM,JOFL,4150,NER,JOHNSTOWN FLOOD NM NMEM
JOSHUA TREE    ,NP,JOTR,8330-8337,PWR,JOSHUA TREE NP
KALAUPAPA     ,NHP,KALA,8896,PWR,KALAUPAPA NHP
KALOKO-HONOKOHAU     ,NHP,KAHO,8320,PWR,KALOKO-HONOKOHAU NHP
KATMAI     ,NP,KATM,9796,AKR,KATMAI NP
KATMAI      ,NPRES,KATM,9796,AKR,KATMAI NPRES
KENAI  FJORDS     ,NP,KEFJ,9845,AKR,KENAI  FJORDS NP
KENNESAW MOUNTAIN       ,NBP,KEMO,5490,SER,KENNESAW MOUNTAIN NBP
KEWEENAW       ,NHP,KEWE,6410,MWR,KEWEENAW NHP
KINGS CANYON    ,NP,SEKI,8510,PWR,KINGS CANYON NP
KINGS MOUNTAIN       ,NMP,KIMO,5500,SER,KINGS MOUNTAIN NMP
KLONDIKE GOLD RUSH   ,NHP,KLSE,9580,PWR,KLONDIKE GOLD RUSH NHP
KLONDIKE GOLD RUSH   ,NHP,"KLGO
",9825,"AKR
",KLONDIKE GOLD RUSH NHP
KNIFE RIVER  INDIAN VILLAGES       ,NHS,KNRI,1548,MWR,KNIFE RIVER  INDIAN VILLAGES NHS
LAKE CLARK     ,NP,LACL,9855,AKR,LAKE CLARK NP
LAKE CLARK      ,NPRES,LACL,9855,AKR,LAKE CLARK NPRES
LAKE MEAD    ,NRA,LAKE,8360,PWR,LAKE MEAD NRA
LAKE ROOSEVELT    ,NRA,LARO,9260,PWR,LAKE ROOSEVELT NRA
LASSEN VOLCANIC    ,NP,LAVO,8400,PWR,LASSEN VOLCANIC NP
LAVA BEDS    ,NM,LABE,8410,PWR,LAVA BEDS NM
LAKE MEREDITH    ,NRA,LAMR,7540-7550,IMR,LAKE MEREDITH NRA
LEWIS AND CLARK  ,NHP,FOCL,9420,PWR,LEWIS AND CLARK NHP
LINCOLN BOYHOOD     ,NMEM,LIBO,6400,MWR,LINCOLN BOYHOOD NMEM
LINCOLN HOME        ,NHS,LIHO,6530,MWR,LINCOLN HOME NHS
LITTLE BIGHORN      ,NM,LIBI,1320,IMR,LITTLE BIGHORN NM
LITTLE RIVER CANYON     ,NPRES,LIRI,5279,SER,LITTLE RIVER CANYON NPRES
LITTLE ROCK CENTRAL HIGH SCHOOL ,NHS,CHSC,7310,MWR,LITTLE ROCK CENTRAL HIGH SCHOOL NHS
LONGFELLOW HOUSE -WASHINGTON'S HEADQUARTERS,NHS,LONG,1850 (1800),NER,LONGFELLOW HOUSE -WASHINGTON'S HEADQUARTERS NHS
LOWELL  ,NHP,LOWE,1780,NER,LOWELL NHP
LYNDON B. JOHNSON    ,NHP,LYJO,"
7350-7359",IMR,LYNDON B. JOHNSON NHP
LYNDON BAINES JOHNSON MEMORIAL GROVE ON THE POTOMAC,NMEM,GWMP,3301-3321,NCR,LYNDON BAINES JOHNSON MEMORIAL GROVE ON THE POTOMAC NMEM
MAGGIE L. WALKER  ,NHS,MAWA,4790,NER,MAGGIE L. WALKER NHS
MAMMOTH CAVE     ,NP,MACA,5530-5536,SER,MAMMOTH CAVE NP
